"NovelID","AuthorID","Sex","Author","Nationality","Novel","WordCount","WordsPerSentence","pronoun","i","we","you","SheHe","they","ImpersonalPronouns","AuxiliaryVerb","adverb","negation","verb","adjective"
1,1,"male","William Golding","British","Lord of the Flies",60719,10.32,12.87,1.16,1.04,1.1,4.29,1.58,3.69,6.66,4.32,1.52,15.98,3.99
2,1,"male","William Golding","British","Pincher Martin",54216,11.79,13.01,1.63,0.15,0.72,5.87,0.89,3.74,6.54,4.01,1.31,14.09,4.2
3,2,"male","P. H. Newby","British","Something to Answer For",97852,11.59,15.82,1.56,0.26,1.77,6.44,1.05,4.74,10.43,4.55,2.12,19.64,3.56
4,3,"male","Stanley Middleton","British","Holiday",70335,10.69,16.97,1.76,0.41,1.47,8.02,1.14,4.16,7.45,4.03,2.55,15.93,4.44
5,4,"male","Paul Scott","British","The Jewel in the Crown",211231,19.57,14.85,3.09,0.61,0.76,3.96,0.99,5.42,8.29,4.68,1.73,16.48,4.04
6,5,"male","Kingsley Amis","British","Lucky Jim",91872,14.13,17.31,2.54,0.31,1.99,6.04,0.56,5.84,9.16,5.27,2.23,18.73,4.37
7,5,"male","Kingsley Amis","British","Colonel Sun",73647,12.57,13.39,1.64,0.72,1.56,4.02,0.88,4.53,8.02,4.26,1.67,15.54,4.66
8,6,"male","John Berger","British","G.",110440,14.21,16.08,1.27,0.47,1.22,6.7,1.45,4.97,8.53,3.75,1.59,15.18,4.34
9,6,"male","John Berger","British","Pig Earth",60774,12.51,15.29,2.71,0.62,1.22,5.33,1.27,4.13,7.4,3.79,1.48,15.25,4.3
10,7,"male","Barry Unsworth","British","Stone Virgin",114393,15.32,15.31,2.26,0.41,0.96,5.88,0.76,5.01,8.18,4.78,1.68,16.07,4.25
11,7,"male","Barry Unsworth","British","Sacred Hunger",229088,16.21,14.24,1.41,0.44,1.12,5.59,1.13,4.53,7.5,3.95,1.56,15.12,4.17
12,8,"male","V. S. Naipaul","British","In a Free State",46000,11.03,13.24,1.92,0.39,1.34,4.12,1.43,4.03,7.43,4.52,1.72,16.66,4.55
13,9,"male","David Storey","British","A Temporary Life",71529,8.85,18.94,4.86,0.63,2.05,6.39,0.64,4.33,8.18,3.99,1.5,18.11,3.5
14,9,"male","David Storey","British","Saville",200678,12.07,16.65,1.83,0.45,1.7,7.75,1.14,3.77,7.49,4.31,1.52,17.74,3.75
15,10,"male","Howard Jacobson","British","The Making of Henry",111608,12.09,17.36,1.48,0.25,1.96,6.79,1.02,5.82,9.52,5.15,2.85,17.39,3.96
16,10,"male","Howard Jacobson","British","Kalooki Nights",157806,13.86,18.34,4.08,0.81,1.6,4.98,1.22,5.63,9.47,4.67,2.71,17.05,3.89
17,11,"male","John Banville","Irish","Nightspawn",63192,11.2,17.18,5.87,0.65,1.23,4.39,0.61,4.37,6.04,3.86,1.57,15.04,3.57
18,11,"male","John Banville","Irish","The Book of Evidence",71940,15.72,16.83,6.78,0.46,0.34,3.69,0.81,4.72,7.33,4.49,1.57,15.19,4.24
19,12,"male","Julian Barnes","British","Metroland",50403,13.95,15.61,4.49,1.18,1.93,2.24,0.66,5.1,8.36,5.14,2.26,16.37,4.8
20,12,"male","Julian Barnes","British","Flaubert's Parrot",62408,15.06,14.02,2.8,0.54,0.99,3.75,0.98,4.95,7.62,4.24,1.65,14.03,4.53
21,13,"male","James Kelman","Scottish","A Chancer",110387,9.1,16.55,2.21,0.32,2.04,7.03,0.75,4.2,6.97,4.2,1.65,16.95,3.83
22,14,"male","Jim Crace","British","Signals of Distress",82666,11.25,14.43,1.09,0.4,0.96,6.67,1.67,3.62,8.94,3.83,2.23,16.32,3.66
23,13,"male","James Kelman","Scottish","How Late It Was, How Late",118806,10.87,19.97,2.16,0.32,3.2,5.43,1.31,7.5,9.73,5.9,1.34,19.91,4.62
24,14,"male","Jim Crace","British","Being Dead",58987,12.99,12.65,0.21,0.2,0.27,6.51,2.17,3.27,8.52,4.23,1.78,14.53,4.55
25,15,"male","Salman Rushdie","British-American","Midnight's Children",214744,23.94,12.85,3.27,0.55,0.76,3.28,0.79,4.18,6.42,3.87,1.37,12.68,3.95
26,16,"male","Ian McEwan","British","The Comfort of Strangers",36081,15.12,13.36,1.62,0.44,0.62,5.24,2.04,3.38,5.79,4,1.09,13.93,4.78
27,16,"male","Ian McEwan","British","Black Dogs",49830,15.78,15.21,3.56,0.92,0.74,4.14,1.19,4.65,7.48,4.32,1.42,14.65,4.23
28,17,"male","Graham Swift","British","Waterland",112555,15.58,12.99,1.19,0.71,0.82,3.53,0.84,5.87,6.6,4.71,1.97,12.69,4.02
29,17,"male","Graham Swift","British","Last Orders",82488,12.68,19.32,4.95,0.99,1.93,4.83,0.6,5.98,10.07,5.45,3.22,21.04,3.94
30,18,"male","Kazuo Ishiguro","British-Japanese","The Remains of the Day",76604,19.56,15.65,5.29,0.66,1.4,2.27,0.45,5.58,9.12,5.84,1.44,16.27,4.52
31,18,"male","Kazuo Ishiguro","British-Japanese","The Unconsoled",207896,13.73,17.78,5.55,1.24,1.94,3.22,0.75,5.05,9.32,6.66,1.64,18.51,4.29
32,19,"male","Sebastian Barry","Irish","The Whereabouts of Eneas McNulty",89867,15.72,13.91,1.33,0.26,1.43,5.73,1.04,4.08,7.18,4.76,1.82,13.74,4.39
33,19,"male","Sebastian Barry","Irish","Annie Dunne",71284,14.81,16.27,4.57,0.83,0.97,4.37,1.07,4.45,7.91,4.89,1.89,14.73,4.3
34,20,"male","Roddy Doyle","Irish","Paddy Clarke Ha Ha Ha",82704,8.22,20.32,5.92,1.53,1.05,5.53,1.37,4.9,10.63,4.67,2.94,21.9,3.84
