NovelID,AuthorID,Sex,SexualOrientation,Author,Nationality,Born,PublicationYear,Age,Novel,Language,Original_Language,Filename,Segment,WordCount,AnalyticalThinking,Clout,Authentic,Tone,WordsPerSentence,SixLetters,Dictionary,FunctionWords,pronoun,PersonalPronouns,i,we,you,SheHe,they,ImpersonalPronouns,article,preposition,AuxiliaryVerb,adverb,conjunction,negation,verb,adjective,comparison,interrogative,number,quantifier,affect,PositiveEmotion,NegativeEmotion,anxiety,anger,sad,social,family,friend,female,male,CognitiveProcesses,insight,cause,discrepancies,tentative,certainty,differentiation,PerceptualProcesses,see,hear,feel,BiologicalProcesses,body,health,sexual,ingest,drives,affiliation,achievement,power,reward,risk,focuspast,focuspresent,focusfuture,relativity,motion,space,time,work,leisure,home,money,religion,death,informal,swear,netspeak,assent,nonfluencies,FillerWords,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenthesis,OtherPunctuation
1,1,male,heterosexual,William Golding,British,1911,1954,43,Lord of the Flies,English,English,1911-1954-43 England_Male_Golding_Lord of the Flies_1954.docx,1,60719,82.05,78.74,23.37,18.84,10.32,13.69,83.22,53.45,12.87,9.18,1.16,1.04,1.1,4.29,1.58,3.69,10.36,14.16,6.66,4.32,6.81,1.52,15.98,3.99,1.74,1.21,0.98,1.43,3.81,1.65,2.12,0.55,0.57,0.5,10.93,0.06,0.03,0.08,4.64,7.67,1.6,0.84,1.2,1.72,0.87,2.33,6.26,2.58,1.94,1.61,3.34,2.27,0.39,0.07,0.77,5.78,1.42,0.74,2.49,1.01,0.45,8.41,5.4,1.31,17.03,3.44,9.62,4.59,0.34,0.99,0.14,0.11,0.07,0.22,0.38,0.09,0.07,0.08,0.14,0.02,24.2,8.26,4.8,0.06,0.45,0.8,0.68,0.5,3.13,5.48,0,0.03
2,1,male,heterosexual,William Golding,British,1911,1956,45,Pincher Martin,English,English,1911-1956-45 England_Male_Golding_Pincher Martin_1956.docx,1,54216,85.19,66.96,21.22,16.46,11.79,14.3,85.34,55.63,13.01,9.27,1.63,0.15,0.72,5.87,0.89,3.74,11.28,14.73,6.54,4.01,7.01,1.31,14.09,4.2,1.99,0.89,0.96,1.27,3.32,1.32,1.97,0.37,0.53,0.5,9.27,0.04,0.04,0.36,5.9,7.88,1.64,0.91,1.32,1.31,1.08,2.64,5.54,2.74,0.76,1.86,5.24,3.54,0.59,0.1,1.05,4.95,0.49,0.76,3.07,0.66,0.33,7.21,4.4,0.92,17.48,3.1,10.87,4.17,0.57,1.2,0.27,0.14,0.15,0.18,0.35,0.17,0.05,0.03,0.08,0.01,16.78,7.74,3.72,0.02,0.1,0.46,0.37,0.6,2.86,0.92,0,0
3,2,male,heterosexual,P. H. Newby,British,1918,1968,50,Something to Answer For,English,English,1918-1968-50 England_Male_Newby_Something to Answer For_1968.docx,1,97852,61.87,82.14,7.92,26.82,11.59,14.97,86.39,56.82,15.82,11.07,1.56,0.26,1.77,6.44,1.05,4.74,8.37,13.8,10.43,4.55,5.53,2.12,19.64,3.56,1.67,1.59,1.03,1.58,3.61,1.82,1.75,0.28,0.63,0.32,14.06,0.37,0.18,2.19,5.46,10.76,2.12,1.03,2.19,2.52,1.31,3.06,4.24,1.79,1.48,0.86,2.76,1.67,0.52,0.1,0.56,5.23,0.91,0.68,2.63,0.93,0.39,9.66,6.39,0.9,14.42,2.46,8.59,3.68,0.9,0.76,0.52,0.36,0.37,0.45,0.68,0.14,0.29,0.27,0.13,0.05,18.74,7.69,3.72,0.03,0.1,0.93,0.12,0.35,3.48,2.26,0.03,0.03
4,3,male,heterosexual,Stanley Middleton,British,1919,1974,55,Holiday,English,English,1919-1974-55 England_Male_Middleton_Holiday_1974.docx,1,70335,61.88,85.02,9.32,42.51,10.69,17.66,84.74,52.4,16.97,12.8,1.76,0.41,1.47,8.02,1.14,4.16,7.43,13.07,7.45,4.03,5.78,2.55,15.93,4.44,2.03,1.38,1.14,1.3,4.98,2.92,1.99,0.48,0.61,0.44,16.51,0.95,0.16,3.56,6.07,10.59,2.48,1.08,1.67,2.39,1.03,3.61,4.4,1.53,1.57,1.18,3.13,1.67,0.55,0.11,0.77,5.49,1.52,0.84,2.3,0.88,0.41,7.31,6.09,0.97,14.9,2.13,8.02,5.07,1.16,1.09,0.8,0.46,0.26,0.15,0.47,0.09,0.07,0.11,0.2,0.01,30.14,8.62,9.65,0.02,0.44,0.9,0,1.01,3.11,6.38,0,0
5,4,male,heterosexual,Paul Scott,British,1920,1966,46,The Jewel in the Crown,English,English,1920-1966-46 England_Male_Scott_The Jewel in the Crown_1966.docx,1,211231,70.42,70.23,30.14,29.63,19.57,17.14,87.27,56.86,14.85,9.42,3.09,0.61,0.76,3.96,0.99,5.42,8.57,15.06,8.29,4.68,7.06,1.73,16.48,4.04,2.08,1.93,1.16,1.6,4.4,2.28,2.05,0.36,0.55,0.52,12.16,0.55,0.2,1.97,3.53,11.35,2.64,1.31,1.59,2.59,1.42,3.38,3.18,1.35,1.07,0.61,1.63,0.7,0.45,0.07,0.4,6.41,1.61,0.96,2.93,0.84,0.57,8.35,5.83,0.92,14.31,2.03,7.54,4.97,1.64,0.74,0.61,0.48,0.44,0.22,0.33,0.03,0.01,0.07,0.19,0.04,14.28,4.62,5.1,0.09,0.09,0.42,0.08,0.62,0.74,2.25,0.21,0.06
6,5,male,heterosexual,Kingsley Amis,British,1922,1954,32,Lucky Jim,English,English,1922-1954-32 England_Male_Amis_Lucky Jim_1954.docx,1,91872,57.94,76.91,18.65,39.59,14.13,15.92,87.59,56.17,17.31,11.45,2.54,0.31,1.99,6.04,0.56,5.84,6.86,15.11,9.16,5.27,5.7,2.23,18.73,4.37,2.48,1.78,1.13,2.36,4.5,2.6,1.83,0.45,0.41,0.41,13.26,0.16,0.16,1.85,4.92,12.34,2.78,1.16,2.03,3.32,1.66,3.36,4.15,1.49,1.8,0.81,2.15,1.24,0.38,0.06,0.56,5.52,0.94,0.88,2.23,1.29,0.58,7.33,7.98,1.36,15.04,2.36,7.88,5.14,1.28,0.78,0.51,0.31,0.13,0.07,1,0.06,0.07,0.29,0.56,0.05,25.72,6.27,7.48,0.34,0.54,1.19,0,0.98,2.56,6.32,0.06,0
7,5,male,heterosexual,Kingsley Amis,British,1922,1968,46,Colonel Sun,English,English,1922-1968-46 England_Male_Amis_Colonel Sun_1968.docx,1,73647,78.59,76.53,24.82,33.14,12.57,17.42,84.54,53.34,13.39,8.82,1.64,0.72,1.56,4.02,0.88,4.53,8.73,14.95,8.02,4.26,5.75,1.67,15.54,4.66,2.31,1.24,1.56,1.94,4.58,2.47,2.04,0.44,0.59,0.37,11.14,0.06,0.25,0.73,4.25,10.08,1.94,1.02,1.62,2.72,1.47,2.81,3.91,1.73,1.12,0.93,2.59,1.6,0.52,0.07,0.51,6.18,1.33,0.96,2.71,1.01,0.63,6.85,6.39,1.45,16.17,2.62,9.14,4.81,1.25,0.59,0.52,0.3,0.13,0.21,0.52,0.06,0.04,0.14,0.23,0.05,20.69,7.54,5.55,0.11,0.1,0.58,0.06,1.02,1.72,3.91,0.1,0.01
8,6,male,heterosexual,John Berger,British,1926,1972,46,G.,English,English,1926-1972-46 England_Male_Berger_G._1972.docx,1,110440,73.8,85.3,8.67,31.97,14.21,18.04,86.63,56.87,16.08,11.11,1.27,0.47,1.22,6.7,1.45,4.97,9.26,14.65,8.53,3.75,5.53,1.59,15.18,4.34,2.6,2.09,1.19,1.63,3.73,2.02,1.66,0.38,0.51,0.39,14.84,0.55,0.19,3.53,4.59,10.61,2.34,1.35,1.56,2.07,1.51,3.13,3.93,1.61,1.1,0.93,2.68,1.61,0.51,0.21,0.39,5.51,1.46,0.99,2.4,0.69,0.49,5.49,7.49,1.15,14.35,2.12,7.84,4.65,0.94,0.68,0.61,0.32,0.19,0.34,0.19,0.05,0.01,0.07,0.06,0,13.77,6.47,4.47,0.35,0.22,0.45,0.21,0.41,0.11,0.75,0.32,0.01
9,6,male,heterosexual,John Berger,British,1926,1979,53,Pig Earth,English,English,1926-1979-53 England_Male_Berger_Pig Earth_1979.docx,1,60774,81.53,78.54,21.95,24.93,12.51,13.91,85.03,55.43,15.29,11.16,2.71,0.62,1.22,5.33,1.27,4.13,10.79,14.49,7.4,3.79,5.27,1.48,15.25,4.3,2.51,1.92,1.85,1.42,2.67,1.3,1.35,0.24,0.41,0.37,12.45,0.67,0.12,3.44,2.92,7.15,1.29,1.11,1.28,1.35,1.07,2.06,4.21,1.74,1.31,0.96,3.36,1.89,0.47,0.12,0.97,5.3,1.25,0.9,2.46,0.65,0.39,7.91,5.4,0.89,16.9,2.75,9.05,5.54,0.86,0.76,0.8,0.55,0.18,0.5,0.27,0.12,0.03,0.07,0.05,0.01,16.66,6.95,5.21,0.2,0.09,0.55,0.65,0.5,1.07,1.41,0.03,0
10,7,male,heterosexual,Barry Unsworth,British,1930,1985,55,Stone Virgin,English,English,1930-1985-55 England_Male_Unsworth_Stone Virgin_1985.docx,1,114393,72.2,73.38,15.46,33.41,15.32,18.18,84.85,55.67,15.31,10.27,2.26,0.41,0.96,5.88,0.76,5.01,8.34,14.71,8.18,4.78,5.36,1.68,16.07,4.25,2.21,1.3,1.18,1.8,4.05,2.22,1.77,0.44,0.39,0.4,11.91,0.2,0.1,2.04,4.41,10.93,2.51,1.24,1.47,2.64,1.45,3.04,4.42,1.89,1.59,0.73,2.34,1.37,0.39,0.19,0.44,4.89,1.1,0.93,1.92,0.83,0.5,8.57,5.56,0.81,14.45,1.95,8.01,4.74,1.12,0.68,0.58,0.39,0.36,0.16,0.38,0.06,0.01,0.13,0.16,0.01,18.57,6.11,6.98,0.1,0.26,0.57,0.02,0.4,1.56,2.52,0.04,0
