"ID","Gender","Age","Afraid","Angry","Attractive","Babyface","Disgusted","Dominant","Feminine","Happy","Masculine","Prototypic","Sad","Surprised","Threatening","Trustworthy","Unusual","Nose_Width","Nose_Length","FaceRoundness","Noseshape"
1,"F",32.57142857,2.035714286,1.571428571,4.111111111,2.857142857,1.392857143,1.928571429,5.62962963,2.928571429,1.357142857,3.659574468,1.892857143,2.821428571,1.321428571,3.925925926,2.518518519,230.5,250.5,0.545751634,0.920159681
2,"F",23.66666667,1.814814815,3.111111111,3.111111111,2.481481481,2.592592593,2.111111111,4.111111111,1.555555556,1.666666667,3.893617021,3.96,1.37037037,1.851851852,3.538461538,2.038461538,233.5,235,0.488288288,0.993617021
3,"F",24.44827586,1.464285714,1.862068966,3,2.344827586,1.551724138,2.862068966,3.206896552,2.379310345,3,1.808510638,1.931034483,1.551724138,2.034482759,3.379310345,2.413793103,277.5,268,0.481332798,1.035447761
4,"F",22.75862069,2.586206897,1.655172414,3.275862069,3.862068966,1.620689655,1.75,5,2.571428571,1.724137931,2.531914894,2.344827586,1.931034483,1.178571429,3.793103448,2.24137931,233.5,240,0.500230734,0.972916667
5,"F",30.13793103,2.551724138,1.586206897,3.172413793,2.068965517,1.655172414,1.75862069,4.62962963,1.275862069,1.482758621,2.574468085,3.517241379,1.137931034,1.206896552,3.310344828,1.517241379,252.5,257.5,0.513570823,0.980582524
6,"F",26.59259259,2.148148148,1.807692308,4.333333333,2.148148148,2.111111111,1.925925926,5.076923077,2,1.37037037,3.565217391,2.888888889,1.777777778,1.423076923,3.518518519,2,205,268.5,0.516918967,0.763500931
7,"F",26.52380952,1.80952381,2.619047619,2.714285714,2.238095238,2.285714286,2.857142857,3.761904762,1.666666667,2.428571429,3.782608696,2.619047619,1.380952381,2.047619048,3.428571429,1.952380952,246,254,0.533934504,0.968503937
8,"F",28.4137931,1.620689655,3.827586207,2.137931034,2.551724138,3.034482759,3.896551724,3.482758621,1.620689655,2.655172414,1.446808511,2.275862069,1.517241379,3.206896552,2.862068966,3.034482759,237.5,206.5,0.553218342,1.150121065
9,"F",28.53846154,2,2.846153846,3.038461538,2.653846154,2.115384615,3.461538462,3.576923077,1.653846154,2.115384615,1.553191489,2.769230769,1.615384615,2.32,3.192307692,2.307692308,240.5,211.5,0.551738944,1.137115839
10,"F",22.56,1.36,1.64,4.08,3.28,1.6,2.4,4.84,3.083333333,1.869565217,1.723404255,2.32,1.44,1.36,3.88,2.4,232.5,266.5,0.4554371,0.872420263
11,"F",23.53846154,1.653846154,1.884615385,2.615384615,3.307692308,1.576923077,2.038461538,4,2.153846154,1.6,1.936170213,2.923076923,1.307692308,1.384615385,3.653846154,2,216,219,0.564733179,0.98630137
12,"F",22.5,1.923076923,1.615384615,3.307692308,2.5,1.576923077,1.461538462,4.115384615,1.653846154,1.730769231,3.723404255,3.12,1.269230769,1.269230769,3.923076923,1.615384615,223,264.5,0.448655796,0.843100189
13,"F",23.85714286,2.392857143,2.071428571,2.607142857,2.75,1.814814815,2.035714286,4.785714286,2.25,1.535714286,3,2.464285714,2.107142857,1.678571429,3.037037037,3.535714286,210,273.5,0.423898228,0.767824497
14,"F",40.18181818,1.652173913,1.909090909,3,2.347826087,2.391304348,2.217391304,5.090909091,2.608695652,1.363636364,3.829787234,2.304347826,1.434782609,1.52173913,3.652173913,2.260869565,218,244,0.435314685,0.893442623
15,"F",26.84615385,2.038461538,2.5,3.730769231,3.153846154,2.08,2.384615385,5.08,2.32,1.730769231,3.787234043,2.230769231,1.576923077,1.923076923,3.923076923,2.653846154,208.5,220.5,0.492746615,0.945578231
16,"F",30.44444444,2.111111111,3.074074074,2.814814815,2.703703704,2.423076923,2.555555556,4.296296296,1.518518519,1.925925926,3.723404255,3.115384615,1.296296296,2.333333333,3.37037037,2.222222222,234.5,243,0.483240223,0.965020576
17,"F",25.93333333,2.103448276,2.266666667,3.266666667,3.1,1.866666667,1.9,4.666666667,1.966666667,1.7,3.276595745,2.066666667,1.733333333,1.733333333,3.9,1.533333333,223,235,0.493494841,0.94893617
